,sentences,raw_sentences
1573,calendar app nt work io    nt month shut   iphone se ,"My Calendar app does n’t work at all after iOS 11.1 , ca n’t see other months and it just shuts down , I have an IPhone SE ."
1574,update phone night   amp   stick headphone mode   nt hear video   facetime   amp   sound go inout ,"Updated my phone last night & amp ; now its stuck in headphone mode , ca nt hear anything on video , FaceTime & amp ; call sound goes in&amp;out ."
1575,time phone freeze new update ridiculous ,The amount of times my phone has froze since the newest update is ridiculous .
1576,shit ,get your shit together ..
1577,have order sainsbury site allow change current home address ,having to order from Sainsbury 's as your site does n't allow me to change my current home address .
1578,,https://t.co/0ZsikSrVcd .
1579,cheer delivery spot cake nt bag bleach ,cheers for the delivery would have been spot on if the cakes were n’t in the same bag as the bleach .
1580,family premium account stop work   pay month   work week ,"My family premium account has stopped working , even though we have payed this month , it was working last week ."
1581,iphone x friday   ,Will I get the iPhone X this Friday ? !
1582,hope god bless ,Hope the gods bless me !
1583,need message flight ,I need to get a message to someone on a flight
1584,wife healthy baby want tell   possible   ,"His wife has had a healthy baby and we want to tell him , is this possible ? ."
1585,drink service flight today turbulance ,No drink service on either flight today due to turbulance .
1586,rain check ,Can I get a rain check ?
1587,,https://t.co/nppo8vV26h .
1588,great ,great !
1589,kind pissed fare flight planning book increase yesterday   want backup   contact u   overcharge account ,"was kind of pissed since the fare for a flight I was planning to book increased from yesterday , just wanted some backup .. contacted u since 10/4/17 about 3 overcharges to my account ."
1590,  credit account   ,As of 10/ 29 no credit to my account for 55.98 .
1591,want   ,Want by 11/3 😠 😠 😠 😲 .
1592,t mobile kind issue order new phone send current phone ,At T Mobile when I had this kind of issue they ordered me a new phone and I just had to send my current phone in .
1593,whack nt charge correctly ,All out of whack and is n’t charging correctly .
1594,want switch phone pay   ,I just want to switch it out for the same exact phone without paying $ 300 .
